ν1	ν2	ν3	ν4	L3	L4	J	K	i	Γ	Nb	E (cm-1)	δ (cm-1)	Transitions
0	0	0	1	0	1	3	2	s	A2'	6	1725.427873	2.95E-04	56
0	0	0	1	0	1	3	2	a	A2"	4	1726.678745	3.12E-04	50
0	0	0	0	0	0	13	4	s	E'	7	1727.262009	3.77E-04	30
0	0	0	0	0	0	13	4	a	E"	7	1727.554307	3.63E-04	38
0	2	0	0	0	0	4	4	s	E'	7	1732.542345	2.25E-04	34
0	1	0	0	0	0	9	5	s	E"	9	1733.848616	3.12E-04	82
0	0	0	1	0	1	3	2	s	E'	8	1737.337039	2.15E-04	74
0	0	0	1	0	1	3	2	a	E"	8	1738.83684	1.90E-04	71
0	0	0	0	0	0	16	16	s	E'	1	1740.014413	1.04E-03	14
0	0	0	1	0	1	3	1	s	E"	9	1740.516128	2.65E-04	73
0	0	0	0	0	0	16	16	a	E"	1	1741.346716	1.05E-03	16
0	0	0	1	0	1	3	1	a	E'	9	1742.009006	2.83E-04	68
0	0	0	1	0	1	3	1	s	A2"	5	1744.796692	2.64E-04	45
0	0	0	0	0	0	15	13	s	E"	2	1746.97177	4.01E-04	28
0	0	0	0	0	0	15	13	a	E'	2	1747.739127	4.12E-04	29
0	0	0	1	0	1	3	0	s	E'	10	1747.742346	2.15E-04	80
0	0	0	1	0	1	3	0	a	E"	10	1749.551927	1.90E-04	76
0	0	0	1	0	1	3	1	a	A2'	7	1750.65789	2.45E-04	59
0	1	0	0	0	0	10	9	a	A2'	4	1750.973554	3.35E-04	69
0	0	0	0	0	0	13	3	s	A2"	4	1751.639671	3.76E-04	44
0	0	0	0	0	0	13	3	a	A2'	4	1751.854441	3.62E-04	48
0	0	0	1	0	1	4	4	s	E'	8	1752.659601	2.85E-04	46
0	0	0	1	0	1	4	4	a	E"	7	1753.72314	3.00E-04	46
0	1	0	0	0	0	9	5	a	E'	9	1760.849972	3.35E-04	85
0	2	0	0	0	0	4	3	s	A2"	5	1762.066562	3.45E-04	54
0	1	0	0	0	0	9	4	s	E'	10	1768.363527	3.19E-04	82
0	0	0	0	0	0	13	2	s	E'	8	1768.956332	3.77E-04	32
0	0	0	0	0	0	13	2	a	E"	8	1769.21966	3.64E-04	25
0	0	0	0	0	0	14	9	s	A2"	2	1770.517386	3.76E-04	45
0	0	0	0	0	0	14	9	a	A2'	2	1770.949386	3.90E-04	38
0	1	0	0	0	0	11	11	s	E"	9	1775.872858	3.99E-04	42
0	0	0	1	0	1	4	4	s	A2'	3	1776.806056	3.32E-04	56
0	0	0	1	0	1	4	4	a	A2"	6	1778.666169	3.17E-04	69
0	0	0	0	0	0	13	1	s	E"	9	1779.346251	3.95E-04	23
