        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4288.00540 0.0005       0.0005    0    1    0    2    0    2    6    3   a  E'   87    0    0    0    0    0    0    5    2   a  E"    3 21CeCaCo.114
4288.09730 0.0009       0.0009    0    1    0    2    0    0    5    1   a  E'   75    0    0    0    0    0    0    4    2   a  E"    2 21CeCaCo.115
4288.18270 0.0005       0.0005    0    1    0    2    0    2    9    1   s  E"  137    0    0    0    0    0    0    9    5   a  E'    3 21CeCaCo.116
4288.23470 0.0005       0.0005    1    1    0    0    0    0    8    3   s A2"   67    0    0    0    0    0    0    8    3   a A2'    2 21CeCaCo.117
4288.36160 0.0005       0.0005    0    1    0    2    0    2    9    7   a  E'  122    0    0    0    0    0    0    9    8   a  E"    1 21CeCaCo.118
4288.42250 0.0005       0.0005    0    1    0    2    0    2   11    4   a A2"   77    0    0    0    0    0    0   11    6   s A2'    2 21CeCaCo.119
4288.63380 0.0005       0.0005    1    1    0    0    0    0    7    4   s  E'  108    0    0    0    0    0    0    7    4   a  E"    3 21CeCaCo.120
4288.65250 0.0005       0.0005    1    1    0    0    0    0    8    2   s  E'  128    0    0    0    0    0    0    8    2   a  E"    5 21CeCaCo.121
4288.68410 0.0005       0.0005    1    1    0    0    0    0    6    5   s  E"   90    0    0    0    0    0    0    6    5   a  E'    1 21CeCaCo.122
4288.76790 0.0005       0.0005    0    1    1    0    1    0    8    7   s  E"  124    0    0    0    0    0    0    9    8   s  E'    1 21CeCaCo.123
4288.84220 0.0005       0.0005    0    1    0    2    0    0    8    4   a  E"  114    0    0    0    0    0    0    7    1   a  E'    5 21CeCaCo.124
4288.91100 0.0005       0.0005    1    1    0    0    0    0    8    1   s  E"  126    0    0    0    0    0    0    8    1   a  E'    6 21CeCaCo.125
4288.94040 0.0005       0.0005    0    1    0    2    0    2    5    3   a  E'   76    0    0    0    0    0    0    4    1   s  E"    3 21CeCaCo.126
4288.96920 0.0009       0.0009    0    1    0    2    0    2   11    7   a A2'   78    0    0    0    0    0    0   11    9   s A2"    1 21CeCaCo.127
4289.16350 0.0005       0.0005    0    1    0    2    0    2    9    5   s  E"  122    0    0    0    0    0    0    8    4   s  E'    4 21CeCaCo.128
4289.19060 0.0005       0.0005    0    1    0    2    0    2    6    2   s A2'   42    0    0    0    0    0    0    6    6   a A2"    1 21CeCaCo.129
4289.22310 0.0005       0.0005    1    2    0    0    0    0    5    2   a  E"  154    0    1    0    0    0    0    5    2   s  E'    7 21CeCaCo.130
4289.23940 0.0005       0.0005    1    1    0    0    0    0    7    3   s A2"   52    0    0    0    0    0    0    7    3   a A2'    2 21CeCaCo.131
4289.40030 0.0005       0.0005    1    1    0    0    0    0    5    5   s  E"   78    0    0    0    0    0    0    5    5   a  E'    1 21CeCaCo.132
