C.1	C.2       	C.3    	C.4       	C.5               	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
1	3911.67305	0.00002	6.6293E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	7	6	2	3	89	0	0	0	0	0	0	0	1	8	5	6	6	3
1	3911.89636	     	4.2377E-25																												
1	3911.96113	0.00016	8.7691E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	0	1	3	53	0	0	0	0	0	0	1	5	5	2	3	6	3
1	3912.11992	     	1.5431E-24																												
1	3912.42626	0.00012	4.0172E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	11	5	6	5	75	0	0	0	0	0	0	1	5	12	3	4	2	4
1	3912.71016	0.00155	7.8278E-25	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	3	1	6	2	44	0	1	0	0	0	0	1	5	4	0	1	5	4
1	3913.04443	     	1.7832E-25																												
1	3913.34864	0.00038	8.4335E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	7	5	6	5	40	0	0	0	0	0	0	1	5	7	3	4	2	2
1	3913.70505	0.00005	2.6392E-24	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	6	5	6	3	75	0	0	0	0	0	0	0	1	7	5	6	6	2
1	3914.65741	0.00006	5.5031E-24	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	4	3	3	119	0	1	0	0	0	0	1	5	6	4	3	6	6
1	3914.94622	     	1.0405E-24																												
1	3915.40140	     	3.4615E-25																												
1	3915.84480		3.6922E-25	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	3	0	2	6	77	0	1	0	0	0	0	1	5	4	1	6	3	6
1	3915.95499	0.00003	3.7552E-25	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	9	5	6	6	122	0	0	0	0	0	0	0	1	10	4	3	3	5
1	3916.27920	0.00143	2.1188E-25	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	13	9	4	2	89	0	0	0	0	0	0	0	1	14	9	5	5	2
1	3916.50544	     	5.1188E-25																												
1	3916.65367	     	3.6503E-25																												
1	3916.76107	     	4.7412E-25																												
1	3916.87636	     	4.2377E-25																												
1	3917.24577	0.00009	2.3077E-24	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	9	8	3	3	111	0	0	0	0	0	0	1	5	10	8	3	6	2
1	3917.30318	     	1.0385E-24																												
1	3917.38115	     	2.6433E-25																												
1	3917.46715	0.00042	2.7692E-25	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	12	10	3	6	148	0	0	0	0	0	0	0	1	13	10	3	3	3
1	3917.60262	     	6.7761E-25																												
1	3917.69668	     	2.0139E-25																												
1	3918.01520	0.00012	7.3006E-25	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	11	7	6	6	150	0	0	0	0	0	0	1	5	12	7	6	3	4
1	3918.02299	0.00004	1.9406E-24	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	3	5	6	50	0	0	0	0	0	0	0	1	5	4	3	3	2
1	3918.11543	0.00003	4.9720E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	1	6	6	41	0	0	0	0	0	0	1	5	4	1	6	3	3
1	3918.56680	0.00032	4.9929E-25	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	2	3	3	39	0	0	0	0	0	0	0	1	4	1	6	6	3
1	3918.60700	     	1.5524E-25																												
1	3918.88391	0.00004	1.2747E-23	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	3	5	5	57	0	1	0	0	0	0	1	5	6	3	4	2	4
1	3919.06438	0.00020	5.8950E-25	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	11	11	6	3	131	0	0	0	0	0	0	0	1	12	11	6	6	1
1	3919.40700	     	1.9510E-25																												
1	3919.78421		2.7692E-25	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	3	1	6	3	75	0	1	0	0	0	0	1	5	4	2	3	6	6
1	3920.10662	     	1.0028E-24																												
