        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"         Source
9672.88543  0.01  0.01     2     0     0     2    0    2   4   2  a   A2"  417     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.363
9735.08439  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  651     0     0     0     0    0    0   3   2  s    E'    1 17BaPoYuTe.126
9655.68569  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  651     0     0     0     0    0    0   4   2  s    E'    2 17BaPoYuTe.120
9724.72133  0.01  0.01     1     0     1     2    1    2   3   2  s    E'  642     0     0     0     0    0    0   3   1  s    E"    2  17BaPoYuTe.18
9726.94892  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  652     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.123
9786.51890  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  652     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.130
9647.61842  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  652     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.116
9644.16753  0.01  0.01     1     0     1     2    1    2   3   3  a   A2'  345     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.115
9783.05081  0.01  0.01     1     0     1     2    1    2   3   3  a   A2'  345     0     0     0     0    0    0   2   0  a   A2"    1 17BaPoYuTe.129
9659.95258  0.01  0.01     1     0     1     2    1    2   3   1  a    E'  645     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.121
9739.33178  0.01  0.01     1     0     1     2    1    2   3   1  a    E'  645     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.127
9649.07592  0.01  0.01     1     0     1     2    1    2   3   0  a    E"  654     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.117
9728.40952  0.01  0.01     1     0     1     2    1    2   3   0  a    E"  654     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.124
9740.34177  0.01  0.01     2     0     0     2    0    2   4   1  s    E"  800     0     0     0     0    0    0   3   2  s    E'    1 17BaPoYuTe.237
9651.13431  0.01  0.01     2     0     0     2    0    2   4   0  s    E'  810     0     0     0     0    0    0   4   1  s    E"    3 17BaPoYuTe.236
9662.00817  0.01  0.01     2     0     0     2    0    2   4   1  a    E'  810     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.355
9562.94534  0.01  0.01     2     0     0     2    0    2   4   1  a    E'  810     0     0     0     0    0    0   5   2  a    E"    3 17BaPoYuTe.353
9741.38057  0.01  0.01     2     0     0     2    0    2   4   1  a    E'  810     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.358
9743.82456  0.01  0.01     2     0     0     2    0    2   4   0  a    E"  802     0     0     0     0    0    0   3   2  s    E'    1 17BaPoYuTe.357
9553.61697  0.01  0.01     2     0     0     2    0    2   4   0  a    E"  802     0     0     0     0    0    0   5   1  a    E'    4 17BaPoYuTe.352
9731.96930  0.01  0.01     2     0     0     2    0    2   4   0  a    E"  802     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.356
